location,total_sqft,bath,bhk
Whitefield,1118.0,2.0,2
Thanisandra,1098.0,2.0,2
Kanakapura,1130.0,2.0,2
Sarjapur  Road,1145.0,2.0,2
Kadugodi,950.0,3.0,3
other,600.0,7.0,7
Marathahalli,1102.0,2.0,2
Jalahalli,1478.0,2.0,2
Chandapura,645.0,1.0,1
Hebbal,823.0,2.0,2
Abbigere,880.0,2.0,2
KR Puram,600.0,5.0,4
Gubbalala,1745.0,3.0,3
HAL 2nd Stage,1226.0,3.0,2
Begur Road,680.0,4.0,3
Banashankari Stage VI,1200.0,4.0,4
5th Phase JP Nagar,1450.0,2.0,2
Sahakara Nagar,1150.0,2.0,2
Banashankari Stage VI,2200.0,4.0,4
Bommanahalli,1090.0,3.0,2
Kaggadasapura,1132.0,2.0,2
Hulimavu,1375.0,2.0,2
7th Phase JP Nagar,1500.0,5.0,4
Thanisandra,760.0,1.0,1
Kaggadasapura,1180.0,2.0,2
Jigani,918.0,2.0,2
Rachenahalli,600.0,5.0,5
Margondanahalli,1200.0,1.0,2
HSR Layout,1372.0,2.0,2
other,2400.0,7.0,7
Ardendale,1728.0,3.0,3
Malleshwaram,2215.0,3.0,3
BTM 2nd Stage,1200.0,2.0,2
6th Phase JP Nagar,1280.0,2.0,2
Hulimavu,800.0,4.0,4
Rachenahalli,440.0,1.0,1
Kanakpura Road,1500.0,3.0,3
Whitefield,1800.0,3.0,3
Mysore Road,1525.0,3.0,3
Old Madras Road,1225.0,2.0,2
Kalyan nagar,800.0,6.0,6
Bannerghatta Road,1650.0,3.0,3
Sarjapur  Road,1152.0,4.0,4
9th Phase JP Nagar,1005.0,2.0,2
Whitefield,1562.0,3.0,3
Devanahalli,5000.0,5.0,4
Babusapalaya,810.0,5.0,6
Ramamurthy Nagar,1200.0,2.0,2
KR Puram,1550.0,2.0,2
Chikkalasandra,1070.0,2.0,2
Jalahalli East,1020.0,2.0,2
Yelahanka,1610.0,3.0,3
other,700.0,1.0,1
Hebbal,1420.0,2.0,2
Vidyaranyapura,1200.0,9.0,9
Hebbal,1069.0,3.0,3
Marathahalli,1900.0,3.0,3
Old Airport Road,1655.0,2.0,2
Uttarahalli,1155.0,2.0,2
Sarjapur  Road,1300.0,2.0,3
Doddathoguru,1030.0,2.0,2
Vittasandra,2105.0,2.0,2
Bhoganhalli,1700.0,3.0,3
Jakkur,1760.0,3.0,3
Kadugodi,6200.0,9.0,9
Bannerghatta Road,912.0,2.0,2
Haralur Road,1243.0,2.0,2
Jigani,918.0,2.0,2
Begur Road,1500.0,2.0,3
other,3000.0,3.0,3
Kasavanhalli,1476.0,3.0,3
Mysore Road,1200.0,2.0,2
Vijayanagar,606.0,1.0,1
Garudachar Palya,1295.0,2.0,3
Neeladri Nagar,527.0,1.0,1
OMBR Layout,1300.0,2.0,2
Bommanahalli,680.0,4.0,3
other,1260.0,1.0,1
Koramangala,1140.0,2.0,2
Whitefield,2321.0,4.0,3
Sarjapur  Road,1725.0,3.0,3
Hebbal,3067.0,4.0,4
Kanakpura Road,1230.0,2.0,2
other,600.0,1.0,1
Yeshwanthpur,1313.0,3.0,3
TC Palaya,900.0,2.0,2
Ambalipura,1250.0,2.0,2
HBR Layout,1200.0,6.0,9
Binny Pete,660.0,1.0,1
Basavangudi,1036.0,2.0,2
Koramangala,2700.0,4.0,4
Old Madras Road,1100.0,2.0,2
BTM 2nd Stage,1500.0,2.0,4
Singasandra,525.0,5.0,4
Electronics City Phase 1,1015.0,2.0,2
Gottigere,812.0,1.0,1
Nehru Nagar,2167.0,3.0,3
Raja Rajeshwari Nagar,1200.0,2.0,2
BTM 2nd Stage,1274.0,2.0,2
Raja Rajeshwari Nagar,1151.0,2.0,2
Vidyaranyapura,1060.0,6.0,6
Thubarahalli,1626.0,2.0,3
Banashankari Stage V,1035.0,2.0,2
other,1272.0,4.0,3
Kothannur,1070.0,2.0,2
Raja Rajeshwari Nagar,1570.0,2.0,3
other,1000.0,2.0,3
9th Phase JP Nagar,1200.0,3.0,4
Tindlu,7500.0,7.0,7
5th Phase JP Nagar,1700.0,2.0,3
Haralur Road,1850.0,3.0,3
Kereguddadahalli,904.0,2.0,2
Sahakara Nagar,1270.0,2.0,2
other,2400.0,4.0,3
Mahadevpura,730.0,1.0,1
Kengeri,1125.0,2.0,4
Varthur,977.0,2.0,2
Gunjur Palya,674.0,1.0,2
Nagarbhavi,600.0,3.0,3
Jakkur,1290.0,2.0,2
Kumaraswami Layout,600.0,3.0,3
Abbigere,795.0,2.0,2
other,1463.0,1.0,2
Vijayanagar,1000.0,3.0,3
other,2401.0,3.0,3
Bommenahalli,1670.0,3.0,4
other,1875.0,2.0,3
Marsur,1200.0,3.0,3
Dodda Nekkundi,1804.0,3.0,3
1st Phase JP Nagar,2065.0,4.0,3
Hoskote,1225.0,3.0,3
Bellandur,900.0,2.0,2
Binny Pete,1350.0,2.0,2
Kaggalipura,700.0,1.0,1
Mysore Road,1005.0,2.0,2
Poorna Pragna Layout,1160.0,2.0,2
Hennur Road,1680.0,3.0,3
LB Shastri Nagar,1043.0,2.0,2
Hoskote,1200.0,4.0,4
Hebbal,1040.0,2.0,2
Tindlu,1357.0,2.0,3
Yelachenahalli,1130.0,2.0,2
Sultan Palaya,1700.0,3.0,3
Doddathoguru,1549.0,3.0,3
Yeshwanthpur,1400.0,2.0,2
Dodda Nekkundi,1080.0,2.0,2
Ulsoor,1180.0,2.0,2
other,780.0,7.0,7
Domlur,1800.0,3.0,3
Haralur Road,1225.0,2.0,2
other,890.0,1.0,1
Abbigere,1005.0,2.0,2
Whitefield,1320.0,2.0,2
other,600.0,3.0,5
Electronic City,1128.0,2.0,2
Jakkur,1452.19,2.0,2
other,2400.0,3.0,3
Banashankari,2600.0,4.0,3
Sarakki Nagar,2500.0,4.0,3
Sanjay nagar,630.0,1.0,2
Hosa Road,1243.0,2.0,2
other,1690.0,3.0,3
Banaswadi,1365.0,2.0,2
Hebbal,1420.0,2.0,2
Bisuvanahalli,850.0,1.0,2
7th Phase JP Nagar,1575.0,2.0,3
Thigalarapalya,1418.0,2.0,2
Uttarahalli,1050.0,2.0,2
Hennur Road,1065.0,2.0,2
Ulsoor,1340.0,3.0,3
Electronic City Phase II,1160.0,2.0,2
Kudlu,1092.0,2.0,2
Parappana Agrahara,1194.0,2.0,2
Abbigere,734.0,1.0,1
Ardendale,1100.0,2.0,2
Bellandur,1350.0,2.0,2
Electronic City,1128.0,2.0,2
Cunningham Road,3875.0,3.0,3
Kasavanhalli,1493.0,3.0,3
8th Phase JP Nagar,1098.0,2.0,2
Banashankari,1900.0,2.0,3
other,1460.0,3.0,3
Frazer Town,2350.0,4.0,3
Horamavu Banaswadi,1600.0,5.0,5
Varthur,1091.0,2.0,2
Kanakpura Road,1366.0,3.0,2
other,1685.0,3.0,3
Koramangala,1260.0,2.0,2
Whitefield,3010.0,3.0,3
Ramamurthy Nagar,1330.0,4.0,3
Mallasandra,1200.0,2.0,2
Whitefield,1346.0,2.0,2
Chandapura,630.0,1.0,1
7th Phase JP Nagar,1850.0,3.0,3
Frazer Town,2350.0,2.0,5
other,800.0,5.0,5
Parappana Agrahara,1194.0,2.0,2
Hebbal,4235.0,4.0,4
other,800.0,1.0,1
Rachenahalli,2250.0,3.0,3
Vijayanagar,1352.0,2.0,2
Thanisandra,2002.0,3.0,3
Kaval Byrasandra,1060.0,2.0,2
Raja Rajeshwari Nagar,1196.0,2.0,2
Electronics City Phase 1,1595.0,3.0,3
Banashankari,1260.0,2.0,2
Hebbal,1100.0,2.0,2
Frazer Town,1550.0,2.0,2
ISRO Layout,1180.0,2.0,2
Akshaya Nagar,1662.0,3.0,3
Hennur,1285.0,2.0,2
Akshaya Nagar,1080.0,4.0,4
Ambedkar Nagar,1862.0,3.0,3
Raja Rajeshwari Nagar,1419.0,2.0,2
other,1100.0,4.0,5
Ambedkar Nagar,5530.0,5.0,5
Nagavarapalya,1392.0,2.0,2
Jakkur,1798.0,3.0,3
Babusapalaya,1675.0,3.0,3
other,600.0,7.0,7
Hebbal,1700.0,3.0,3
Hulimavu,1248.0,2.0,2
Kalkere,1147.0,2.0,2
Sultan Palaya,1100.0,2.0,2
Vijayanagar,1527.0,3.0,3
Kanakpura Road,525.0,1.0,1
Kaggadasapura,1100.0,2.0,2
Seegehalli,1118.0,2.0,2
Kanakapura,1476.0,3.0,3
Ambalipura,1332.0,2.0,2
Hennur Road,1350.0,2.0,2
Kothannur,600.0,4.0,4
Haralur Road,1243.0,2.0,2
NGR Layout,1105.0,2.0,2
Padmanabhanagar,1500.0,2.0,3
Kasavanhalli,1200.0,2.0,2
Ramagondanahalli,1251.0,2.0,2
Kambipura,883.0,2.0,2
Rajaji Nagar,1800.0,3.0,3
Hegde Nagar,1703.0,3.0,3
NRI Layout,2500.0,5.0,5
Varthur,1250.0,3.0,3
Jigani,933.0,2.0,2
other,461.82,1.0,1
Brookefield,1262.0,2.0,2
Yelahanka,915.0,2.0,2
Malleshpalya,1210.0,2.0,2
Kodihalli,2392.0,4.0,3
other,1500.0,2.0,3
Rajaji Nagar,3100.0,4.0,4
Sarjapura - Attibele Road,1800.0,4.0,4
Uttarahalli,1300.0,2.0,3
Vijayanagar,989.0,2.0,2
Jakkur,1300.0,2.0,2
Battarahalli,1350.0,3.0,5
Marathahalli,1045.0,2.0,2
other,1320.0,5.0,5
Ulsoor,1500.0,2.0,3
Hennur Road,1385.0,2.0,2
other,1222.0,5.0,6
Lakshminarayana Pura,1149.0,2.0,2
Sarjapur  Road,2180.0,3.0,3
TC Palaya,1200.0,7.0,8
other,1200.0,5.0,5
Hulimavu,1818.0,3.0,3
Rajaji Nagar,1640.0,3.0,3
Chandapura,630.0,1.0,2
Hoodi,1430.0,2.0,2
Nagavara,2430.0,4.0,3
Sarjapur  Road,1084.0,2.0,2
Haralur Road,3400.0,5.0,4
Iblur Village,3596.0,5.0,4
Raja Rajeshwari Nagar,1295.0,2.0,2
Kasavanhalli,1000.0,4.0,3
other,2820.0,3.0,3
Rajaji Nagar,1370.0,2.0,2
JP Nagar,1200.0,2.0,2
Gunjur,2000.0,3.0,4
9th Phase JP Nagar,3500.0,4.0,4
2nd Stage Nagarbhavi,1200.0,4.0,5
Kengeri,2400.0,5.0,4
other,1950.0,3.0,3
Somasundara Palya,1178.0,2.0,2
Begur Road,1160.0,2.0,2
Jigani,918.0,2.0,2
Electronic City,1563.0,3.0,3
other,1350.0,2.0,3
Hebbal,3960.0,5.0,4
Begur Road,1240.0,2.0,2
Kaggadasapura,1325.0,2.0,2
Sonnenahalli,1100.0,2.0,2
Cunningham Road,3875.0,3.0,3
Somasundara Palya,1260.0,2.0,2
Arekere,1445.0,2.0,3
Murugeshpalya,1550.0,3.0,3
Electronics City Phase 1,1515.0,2.0,3
Hosa Road,1332.0,2.0,3
Electronic City,1652.0,3.0,3
Hegde Nagar,1570.0,3.0,3
Sarjapur  Road,5400.0,4.0,4
Sector 2 HSR Layout,794.0,1.0,1
Seegehalli,1200.0,2.0,3
7th Phase JP Nagar,3600.0,3.0,4
Hosakerehalli,1200.0,3.0,3
JP Nagar,1650.0,3.0,4
other,600.0,2.0,4
HRBR Layout,2800.0,3.0,3
Sarjapur  Road,1750.0,3.0,3
Hebbal,1053.0,2.0,2
other,4051.0,4.0,4
Bommasandra,1447.0,3.0,3
Balagere,1012.0,2.0,2
Narayanapura,1308.0,2.0,2
Green Glen Layout,3250.0,4.0,4
other,1200.0,4.0,4
Gunjur,1140.0,2.0,2
Jakkur,3181.0,4.0,4
Uttarahalli,1250.0,2.0,3
Ambedkar Nagar,1424.0,2.0,2
Garudachar Palya,1320.0,2.0,3
Akshaya Nagar,1662.0,3.0,3
Begur Road,1200.0,2.0,2
Koramangala,1975.0,3.0,3
Garudachar Palya,1295.0,2.0,3
Battarahalli,1777.0,3.0,3
Kadugodi,1900.0,3.0,3
Sompura,1020.0,2.0,2
other,2100.0,3.0,3
Raja Rajeshwari Nagar,648.0,1.0,1
Neeladri Nagar,1167.0,2.0,3
other,1000.0,7.0,7
Hoodi,1220.0,2.0,2
Vittasandra,1259.0,2.0,2
8th Phase JP Nagar,1800.0,3.0,3
other,1991.0,3.0,3
Bannerghatta,1665.0,3.0,3
Banashankari,1170.0,2.0,2
Old Airport Road,1075.0,2.0,2
Electronic City,1025.0,2.0,2
Thanisandra,2000.0,3.0,3
Whitefield,2500.0,4.0,4
Mallasandra,1325.0,2.0,2
Kadugodi,1314.0,2.0,2
Kanakpura Road,2265.0,3.0,3
7th Phase JP Nagar,4800.0,7.0,7
KR Puram,1192.5,2.0,2
Hebbal,1420.0,2.0,2
JP Nagar,1300.0,2.0,2
Rajaji Nagar,1216.0,2.0,2
other,3000.0,4.0,4
Begur,1559.0,3.0,3
Harlur,1290.0,2.0,2
Whitefield,905.0,1.0,1
Sarjapura - Attibele Road,829.0,2.0,2
Koramangala,1900.0,2.0,2
Channasandra,1115.0,2.0,2
Rajaji Nagar,2409.0,3.0,3
Ambedkar Nagar,2150.0,4.0,3
Electronic City Phase II,545.0,1.0,2
Subramanyapura,1313.0,2.0,2
Attibele,3640.0,4.0,4
other,1693.0,3.0,3
other,1200.0,3.0,3
Subramanyapura,1255.0,2.0,3
KR Puram,1000.0,4.0,4
Uttarahalli,1700.0,3.0,3
Harlur,1749.0,3.0,3
Dasanapura,1500.0,3.0,2
Akshaya Nagar,1280.0,2.0,2
Ramagondanahalli,1610.0,2.0,3
TC Palaya,1200.0,2.0,2
9th Phase JP Nagar,1127.0,2.0,2
Indira Nagar,1210.0,2.0,2
Thigalarapalya,4190.0,4.0,4
Whitefield,2268.0,3.0,4
other,1150.0,2.0,3
Magadi Road,1345.0,2.0,2
Kengeri,750.0,2.0,2
Pattandur Agrahara,1247.0,2.0,2
Kaggalipura,950.0,2.0,2
Vasanthapura,420.0,2.0,2
BTM 1st Stage,600.0,2.0,4
Marathahalli,1215.0,2.0,2
other,900.0,1.0,1
Hennur Road,2350.0,3.0,3
other,1672.0,3.0,3
Laggere,2800.0,5.0,5
Bommasandra,920.0,2.0,2
Sarjapur  Road,1200.0,3.0,3
other,1250.0,3.0,3
Hosakerehalli,1817.0,4.0,3
Cooke Town,2043.0,6.0,5
HSR Layout,1140.0,2.0,2
Yelahanka,4346.0,4.0,4
Haralur Road,1464.0,2.0,2
Electronics City Phase 1,1555.0,2.0,3
Munnekollal,1200.0,4.0,6
Kadubeesanahalli,970.0,2.0,2
Konanakunte,2779.0,3.0,3
Electronic City,1350.0,3.0,3
Kodichikkanahalli,1495.0,2.0,3
Indira Nagar,1224.0,2.0,2
Banashankari Stage III,1350.0,2.0,3
Green Glen Layout,940.0,2.0,2
Raja Rajeshwari Nagar,1100.0,2.0,2
Kaikondrahalli,1300.0,2.0,2
other,1480.0,2.0,3
Hoodi,1105.0,2.0,2
Sarjapur  Road,2600.0,3.0,3
Yelahanka,1517.0,3.0,3
Marathahalli,1365.0,2.0,2
CV Raman Nagar,1392.0,2.0,2
Kodigehalli,1086.0,2.0,2
Hennur Road,1586.0,3.0,3
Hennur,1100.0,2.0,2
Electronic City Phase II,1065.0,2.0,2
TC Palaya,1500.0,2.0,3
7th Phase JP Nagar,1575.0,2.0,3
Hennur Road,1975.0,3.0,3
Gubbalala,1745.0,3.0,3
Nagarbhavi,1223.0,2.0,2
Ananth Nagar,1200.0,2.0,3
Basaveshwara Nagar,1200.0,2.0,2
Binny Pete,665.0,1.0,1
Bharathi Nagar,1351.0,2.0,2
Hebbal,1355.0,3.0,3
Sector 7 HSR Layout,3900.0,3.0,3
Amruthahalli,900.0,2.0,2
other,440.0,3.0,3
Harlur,3385.0,4.0,4
other,2280.0,3.0,3
Hoodi,1247.0,2.0,2
other,2000.0,3.0,3
Balagere,1020.07,2.0,2
Garudachar Palya,1150.0,2.0,2
Babusapalaya,1141.0,2.0,2
Doddaballapur,4200.0,4.0,4
Hosa Road,1665.0,2.0,3
Kanakapura,1295.0,2.0,2
Haralur Road,1230.0,2.0,2
other,1080.0,2.0,3
Kaggalipura,1000.0,2.0,2
Whitefield,630.5,1.0,1
Rayasandra,1708.0,3.0,3
Thanisandra,1697.0,3.0,3
Hosa Road,615.0,1.0,1
Banashankari,1350.0,2.0,3
Jalahalli,1083.0,2.0,2
Gottigere,1460.0,2.0,3
Babusapalaya,1084.0,2.0,2
Bommasandra,1035.0,2.0,2
other,2400.0,2.0,3
Hosur Road,460.0,1.0,1
other,2000.0,16.0,19
Sarjapur,1200.0,3.0,3
Hegde Nagar,1801.0,3.0,3
Whitefield,1697.0,3.0,3
AECS Layout,1199.0,2.0,2
Iblur Village,2300.0,3.0,3
Jigani,600.0,5.0,5
Anandapura,1200.0,2.0,2
Subramanyapura,1050.0,2.0,2
Nagarbhavi,956.0,2.0,2
Sarjapur,1000.0,2.0,2
other,1596.0,3.0,3
Kanakpura Road,1296.0,2.0,2
other,1639.0,3.0,3
Electronic City Phase II,1219.0,2.0,2
Bannerghatta Road,1218.0,2.0,2
2nd Phase Judicial Layout,525.0,1.0,1
Ramagondanahalli,920.0,2.0,2
Dommasandra,2700.0,3.0,4
other,1740.0,3.0,3
Lingadheeranahalli,1530.0,2.0,3
other,1372.0,2.0,3
Jakkur,1950.0,3.0,3
Kumaraswami Layout,1270.0,4.0,5
Vijayanagar,1380.0,2.0,2
Uttarahalli,1085.0,2.0,2
Bhoganhalli,1451.5,4.0,4
Bellandur,1286.0,2.0,2
Bellandur,3016.0,4.0,4
Haralur Road,1000.0,2.0,2
Lakshminarayana Pura,1336.0,2.0,2
Yeshwanthpur,673.0,1.0,1
Anandapura,1200.0,2.0,2
Malleshwaram,1600.0,3.0,3
Indira Nagar,2480.0,4.0,6
other,2500.0,3.0,3
Devanahalli,2400.0,5.0,5
Sector 2 HSR Layout,1143.0,2.0,2
other,1584.0,3.0,4
Koramangala,2292.0,3.0,3
Kothanur,1460.0,3.0,3
Yelahanka,1200.0,4.0,5
Sanjay nagar,3300.0,3.0,5
Chikkalasandra,1230.0,2.0,2
Yelahanka New Town,650.0,1.0,1
Benson Town,1480.0,2.0,2
other,1570.0,3.0,3
Sadashiva Nagar,3000.0,3.0,3
other,1350.0,3.0,3
Sarjapur  Road,4000.0,5.0,4
Ramamurthy Nagar,1100.0,2.0,2
Kathriguppe,1350.0,2.0,3
Kasavanhalli,1719.0,3.0,3
Budigere,664.0,1.0,1
Sonnenahalli,1011.0,2.0,2
Yeshwanthpur,717.0,2.0,2
Thyagaraja Nagar,700.0,4.0,4
Whitefield,1520.0,2.0,3
Kothanur,1760.0,3.0,3
Pattandur Agrahara,875.0,2.0,2
Hennur,1231.0,2.0,2
Somasundara Palya,1174.0,2.0,2
Munnekollal,1560.0,3.0,3
Kanakpura Road,2200.0,3.0,3
Shivaji Nagar,850.0,2.0,2
other,1750.0,3.0,3
other,1500.0,1.0,2
Kodihalli,2408.0,4.0,3
Indira Nagar,2070.0,3.0,3
Mahalakshmi Layout,1575.0,5.0,4
Kodichikkanahalli,3250.0,4.0,4
Uttarahalli,1175.0,2.0,2
Channasandra,1030.0,2.0,2
Hebbal,1440.0,2.0,2
Hoodi,1500.0,2.0,2
other,705.0,1.0,1
Hegde Nagar,1584.01,3.0,3
other,1340.0,3.0,3
R.T. Nagar,1200.0,2.0,2
Sarjapur  Road,685.0,1.0,1
Kalkere,925.0,2.0,2
other,1200.0,5.0,5
Kodichikkanahalli,1125.0,2.0,2
Hebbal,1100.0,2.0,2
Jigani,2400.0,3.0,3
Uttarahalli,1200.0,7.0,7
other,1260.0,1.0,1
Ambedkar Nagar,3530.0,4.0,4
HSR Layout,1185.0,2.0,2
other,1200.0,2.0,2
Hennur,1255.0,2.0,2
Kudlu Gate,1335.0,3.0,3
Dodda Nekkundi,1999.0,3.0,3
other,1200.0,2.0,2
Kundalahalli,1397.0,3.0,3
Jigani,1200.0,10.0,10
Cooke Town,3950.0,4.0,4
Yelahanka New Town,1200.0,2.0,2
Chikka Tirupathi,1616.0,3.0,3
Banashankari Stage III,1200.0,7.0,8
other,1270.0,2.0,4
Raja Rajeshwari Nagar,1140.0,2.0,2
Kanakpura Road,525.0,1.0,1
Varthur,1200.0,2.0,3
other,700.0,1.0,1
Balagere,1205.47,2.0,2
other,1200.0,3.0,3
Electronic City,1700.0,3.0,3
Thanisandra,750.0,4.0,5
Thanisandra,923.0,1.0,1
Green Glen Layout,1050.0,2.0,2
Indira Nagar,500.0,1.0,1
Thanisandra,1743.0,3.0,3
other,2500.0,3.0,3
Mysore Road,1512.0,2.0,3
other,3100.0,5.0,4
other,1200.0,4.0,4
Sarjapura - Attibele Road,2400.0,3.0,3
Hormavu,1141.0,2.0,2
Anandapura,1151.0,2.0,2
Bommenahalli,832.0,3.0,3
other,3259.0,3.0,3
Bannerghatta Road,1115.0,2.0,2
Kaggadasapura,1200.0,2.0,2
Singasandra,1300.0,2.0,2
Bellandur,1457.0,2.0,2
Kannamangala,1262.0,2.0,2
BEML Layout,1196.0,3.0,4
Ananth Nagar,900.0,2.0,2
Attibele,420.0,1.0,1
Kanakapura,1160.0,2.0,2
Kasavanhalli,1115.0,2.0,2
JP Nagar,1315.0,2.0,3
Babusapalaya,1500.0,2.0,2
HSR Layout,1127.0,2.0,2
Kundalahalli,1397.0,3.0,3
Sompura,1090.0,2.0,2
Jakkur,1230.0,2.0,2
Talaghattapura,1868.0,3.0,3
Uttarahalli,1689.28,3.0,3
Vishwapriya Layout,600.0,3.0,4
Subramanyapura,1200.0,6.0,6
Tindlu,1350.0,2.0,2
Channasandra,4200.0,6.0,6
Uttarahalli,1310.0,2.0,3
Kundalahalli,1397.0,3.0,3
Sarjapur,1157.0,2.0,2
Kasavanhalli,1125.0,2.0,2
Sonnenahalli,1157.0,2.0,2
Sarjapur  Road,1241.0,2.0,2
Binny Pete,660.0,1.0,1
Rajiv Nagar,2340.0,4.0,4
other,596.0,1.0,1
other,10000.0,16.0,16
other,1200.0,4.0,4
other,1910.0,3.0,3
Brookefield,1139.0,2.0,2
Sarjapura - Attibele Road,1033.0,2.0,2
Chandapura,877.0,2.0,2
Electronics City Phase 1,1340.0,2.0,2
other,1750.0,3.0,3
Malleshwaram,675.0,2.0,3
other,1300.0,2.0,2
7th Phase JP Nagar,1850.0,3.0,3
other,1490.0,2.0,3
Hormavu,1130.0,2.0,2
Yelachenahalli,1080.0,2.0,2
Hennur Road,1290.0,2.0,3
Hosa Road,1318.0,2.0,3
Electronic City,1128.0,2.0,2
Yelahanka,1327.0,2.0,2
Basapura,1301.0,2.0,2
other,650.0,1.0,1
Varthur,1200.0,3.0,3
other,1500.0,2.0,3
Nagadevanahalli,1350.0,4.0,4
Electronic City Phase II,1000.0,2.0,2
Jakkur,1819.18,3.0,3
Nagarbhavi,900.0,1.0,1
Hebbal,1355.0,3.0,3
Sarakki Nagar,2145.0,4.0,3
Malleshwaram,2475.0,4.0,3
Kaggadasapura,1118.0,2.0,2
other,910.0,1.0,1
Hosakerehalli,1304.0,2.0,2
CV Raman Nagar,1070.0,2.0,2
Hebbal,3500.0,3.0,3
Hoodi,1132.0,2.0,2
Hebbal,2400.0,5.0,7
Sector 2 HSR Layout,794.0,1.0,1
Raja Rajeshwari Nagar,1090.0,2.0,2
Gottigere,1500.0,3.0,3
1st Phase JP Nagar,2059.0,3.0,3
Kanakpura Road,525.0,1.0,1
Bhoganhalli,1447.0,2.0,2
Whitefield,1269.0,2.0,2
other,4800.0,4.0,4
Talaghattapura,1150.0,2.0,2
Marathahalli,1208.0,2.0,2
Ramamurthy Nagar,1185.0,2.0,2
Laggere,1200.0,3.0,3
Anekal,888.0,2.0,2
other,532.0,1.0,1
other,1060.0,3.0,3
Electronic City,700.0,1.0,1
Uttarahalli,1175.0,2.0,2
Binny Pete,1365.0,2.0,2
Doddathoguru,984.0,2.0,2
Jalahalli East,1475.0,3.0,3
Haralur Road,1300.0,2.0,2
5th Block Hbr Layout,1200.0,6.0,5
other,1550.0,2.0,2
Akshaya Nagar,1666.0,3.0,3
Akshaya Nagar,1410.0,4.0,4
Yelahanka,4025.0,5.0,4
Murugeshpalya,1845.0,3.0,3
Sarjapura - Attibele Road,1676.0,3.0,3
Uttarahalli,1137.0,2.0,2
Electronic City,1360.0,2.0,3
Judicial Layout,1700.0,3.0,3
Kasavanhalli,2170.0,3.0,3
Electronic City Phase II,1790.0,3.0,3
Doddathoguru,550.0,1.0,1
Somasundara Palya,1033.0,2.0,2
Kasturi Nagar,1650.0,5.0,5
Kambipura,883.0,2.0,2
other,1500.0,2.0,3
Marathahalli,1730.0,3.0,3
Whitefield,1545.0,3.0,3
other,1865.0,4.0,3
Hebbal Kempapura,1150.0,2.0,2
Kengeri,963.0,2.0,2
Marsur,1200.0,3.0,3
Kaikondrahalli,1700.0,4.0,4
Lingadheeranahalli,1682.0,3.0,3
Hennur Road,901.0,2.0,2
Vishwapriya Layout,600.0,7.0,7
Ambalipura,1730.0,3.0,3
Konanakunte,1200.0,4.0,4
EPIP Zone,1500.0,3.0,3
Horamavu Banaswadi,1357.0,2.0,2
Yelahanka New Town,350.0,1.0,1
Ramamurthy Nagar,1400.0,3.0,3
Sarjapur  Road,835.0,1.0,1
other,815.0,3.0,2
Haralur Road,1444.0,2.0,3
Kanakapura,1277.0,2.0,2
Lingadheeranahalli,1521.0,3.0,3
Vasanthapura,995.0,2.0,2
Marathahalli,1325.0,1.0,2
Kothanur,4000.0,6.0,6
Marathahalli,1525.0,3.0,3
Electronics City Phase 1,650.0,1.0,1
Old Airport Road,1858.0,2.0,3
Electronic City Phase II,769.0,2.0,2
Electronic City,1571.0,3.0,3
Hennur Road,1445.0,3.0,3
Hosur Road,1590.0,2.0,3
Bommasandra,902.0,2.0,2
Sarjapur,2238.0,3.0,3
Haralur Road,1088.0,2.0,2
Kundalahalli,1920.0,3.0,3
Margondanahalli,1000.0,2.0,2
Horamavu Agara,1106.0,2.0,2
Thanisandra,923.0,1.0,1
Sarjapur  Road,2900.0,3.0,3
Lakshminarayana Pura,1175.0,2.0,2
Thubarahalli,975.0,2.0,2
Hebbal,2400.0,4.0,3
Harlur,1758.0,3.0,3
Nagarbhavi,1200.0,3.0,3
Hebbal,1255.0,2.0,3
Nagadevanahalli,600.0,4.0,3
Pai Layout,1100.0,2.0,2
Ramamurthy Nagar,1170.0,2.0,2
Hebbal,1420.0,2.0,2
other,1200.0,4.0,4
7th Phase JP Nagar,1045.0,6.0,6
Kanakpura Road,1591.0,3.0,3
7th Phase JP Nagar,1680.0,3.0,3
Hoodi,1055.0,2.0,2
Iblur Village,1918.0,3.0,3
Sarjapur  Road,1280.0,2.0,2
Talaghattapura,2106.0,3.0,3
other,1801.0,3.0,3
Seegehalli,1200.0,5.0,5
Rajaji Nagar,1718.0,3.0,2
Hebbal,1320.0,2.0,2
other,2990.0,4.0,4
Kalyan nagar,3800.0,5.0,4
Bannerghatta Road,1893.0,3.0,3
Chandapura,1107.0,2.0,3
R.T. Nagar,1200.0,10.0,9
Lakshminarayana Pura,1190.0,2.0,2
Kumaraswami Layout,1000.0,2.0,2
Jalahalli,2113.0,3.0,3
KR Puram,1100.0,2.0,2
Sector 2 HSR Layout,1200.0,4.0,5
Kudlu,1027.0,2.0,2
other,1200.0,3.0,3
Kudlu Gate,703.0,1.0,1
Bellandur,1195.0,2.0,2
Narayanapura,1302.0,2.0,2
Begur Road,1583.0,3.0,3
other,600.0,5.0,4
Whitefield,3262.0,4.0,4
Electronic City,1600.0,3.0,3
Old Airport Road,1150.0,2.0,2
Sarjapur  Road,1263.0,2.0,2
KR Puram,1200.0,8.0,7
Kanakpura Road,1299.0,2.0,2
Banashankari,1330.0,2.0,2
Bannerghatta Road,1600.0,3.0,3
other,1390.0,2.0,3
other,1550.0,2.0,3
Hebbal,919.0,2.0,2
